DAY,CORRECTNESS,NUM_RESULT_OWNERS,NUM_QUESTIONS
2018-04-22,2,1479,7986
2018-03-26,1,14633,137240
2018-10-30,1,309428,1063708
2018-08-15,2,26436,196732
2018-01-09,1,19982,196210
2018-09-06,2,74491,516684
2018-11-01,3,114839,284102
2018-03-28,2,12964,97016
2018-10-03,2,56903,346677
2018-09-25,3,27213,92727
2018-06-18,3,3223,13196
2018-05-17,2,14003,96914
2018-10-06,1,2383,19665
2018-04-13,1,15940,142839
2018-07-22,2,1007,4553
2018-04-20,3,6310,22468
2018-05-16,2,12945,85528
2018-04-16,1,17293,149386
2018-02-24,1,1221,10940
2018-07-25,1,2561,20992
2018-09-29,3,1127,4503
2018-04-14,3,770,3123
2018-02-10,1,1278,10719
2018-09-08,1,45636,243274
2018-02-07,2,16802,134858
2018-09-10,1,484077,2101230
2018-10-18,1,52892,448625
2018-05-24,3,5598,17770
2018-02-05,2,18879,154465
2018-05-12,1,982,8165
2018-01-10,1,21207,208585
2018-05-29,3,5679,20346
2018-01-17,2,13285,103312
2018-02-14,2,15229,117677
2018-09-26,1,63078,507234
2018-08-31,3,26458,99568
2018-10-04,1,60129,504181
2018-11-27,2,46806,260372
2018-08-29,3,27425,104918
2018-09-14,3,32536,118028
2018-08-02,3,1447,5661
2018-03-06,1,17318,155573
2018-10-21,3,29362,80891
2018-05-22,1,16117,137815
2018-05-21,2,16336,103053
2018-07-10,1,3912,39012
2018-07-10,2,3622,23987
2018-07-30,1,3515,33265
2018-07-30,2,3287,20318
2018-06-22,1,2648,23794
2018-02-17,1,1036,8489
2018-04-08,1,2084,16846
2018-11-22,3,733,2661
2018-05-19,2,1126,5468
2018-07-09,1,3989,40513
2018-05-27,3,565,2279
2018-01-12,1,16135,160958
2018-09-04,2,64821,429100
2018-03-14,1,15062,132275
2018-11-05,2,271235,835135
2018-04-26,1,14513,123086
2018-01-11,2,20323,180631
2018-08-22,2,43302,305926
2018-10-11,2,50016,320360
2018-01-30,1,18364,171517
2018-04-19,3,7593,28195
2018-11-27,3,20200,62393
2018-09-20,3,32170,115266
2018-08-08,2,10159,72935
2018-05-01,2,14823,84943
2018-08-13,1,18059,151053
2018-06-02,1,1121,8869
2018-06-15,3,2328,8991
2018-07-27,2,1636,7838
2018-06-18,1,6463,66874
2018-06-15,1,4607,49414
2018-07-18,3,1290,4899
2018-01-13,1,1201,10668
2018-04-22,1,1591,15044
2018-07-19,1,2529,19826
2018-03-11,1,1364,12605
2018-11-11,3,1158,4360
2018-03-14,2,15161,112406
2018-08-21,2,41638,285183
2018-10-04,2,58599,366890
2018-08-08,3,5121,18934
2018-10-19,2,49412,312221
2018-08-17,2,35213,269607
2018-06-08,1,6692,65368
2018-05-02,1,14096,121866
2018-08-16,3,16130,62842
2018-09-18,2,66555,412618
2018-05-30,3,5017,17193
2018-08-17,3,17321,68905
2018-01-22,2,19430,169523
2018-11-19,2,39677,212858
2018-03-27,2,13903,109558
2018-01-24,2,19423,161197
2018-08-14,1,22936,202066
2018-01-08,1,16467,154307
2018-04-20,1,13480,112645
2018-11-23,2,1548,8939
2018-05-21,3,7454,28778
2018-03-04,2,1554,10917
2018-08-25,3,863,3966
2018-04-15,3,1039,4383
2018-06-16,1,1012,9293
2018-07-21,3,621,2349
2018-06-28,3,1486,5531
2018-02-10,2,1280,9164
2018-11-29,2,48815,285792
2018-08-31,2,55818,394572
2018-10-29,3,122840,299703
2018-10-31,3,77467,187506
2018-10-19,1,50526,437010
2018-03-10,1,1186,10544
2018-10-11,1,51331,453753
2018-08-17,1,35470,328301
2018-09-17,2,67818,418141
2018-01-08,2,16752,147707
2018-03-12,2,16176,123729
2018-04-21,2,1172,6099
2018-10-16,3,25273,85921
2018-02-02,2,16435,135562
2018-03-28,1,12816,113631
2018-06-08,2,6318,39027
2018-08-06,2,6769,40743
2018-01-02,2,7271,62766
2018-11-24,2,1372,7745
2018-03-17,2,1121,7411
2018-06-25,3,2053,7282
2018-07-05,1,2781,23903
2018-06-27,3,1707,6952
2018-10-14,2,3046,18765
2018-03-30,2,4401,32034
2018-07-16,3,1667,5861
2018-03-18,1,1503,14363
2018-04-01,2,930,5907
2018-06-17,3,536,1822
2018-08-12,3,696,2646
2018-08-09,2,15425,114958
2018-11-30,2,46524,277311
2018-05-29,2,11957,69142
2018-11-06,1,241294,829069
2018-10-30,2,296395,887158
2018-09-12,3,32680,116871
2018-09-10,2,471441,1891233
2018-11-13,3,22002,71412
2018-02-12,1,15934,141847
2018-03-07,1,17152,156161
2018-04-06,2,11766,88324
2018-11-07,1,296638,1066979
2018-09-28,2,60911,401983
2018-10-08,2,33862,197458
2018-10-10,1,53550,462045
2018-08-20,1,38782,325810
2018-09-18,1,68370,561927
2018-10-28,3,22982,64330
2018-10-02,3,26277,88684
2018-09-13,1,75534,656045
2018-02-05,1,18638,172759
2018-05-30,1,11498,97843
2018-01-18,1,15030,139264
2018-04-24,2,14891,83550
2018-10-10,2,52160,327692
2018-05-02,3,6547,23475
2018-09-23,3,2080,9367
2018-02-13,2,17476,141376
2018-07-02,3,1945,7254
2018-05-01,3,7205,24957
2018-06-26,2,3392,20922
2018-01-14,1,1261,11534
2018-04-29,1,1472,13142
2018-01-28,1,1791,16942
2018-08-04,1,914,6595
2018-08-05,1,997,8453
2018-02-03,2,1298,9799
2018-05-30,2,10834,58805
2018-08-27,2,51544,355893
2018-05-03,2,15818,95901
2018-11-21,2,9215,55881
2018-08-30,3,30211,112725
2018-11-03,3,13266,37461
2018-11-18,2,2026,9787
2018-09-24,3,29180,101873
2018-09-27,3,28157,99482
2018-04-27,3,6331,22594
2018-09-30,1,3839,43230
